Date,Open,High,Low,Close,Adj Close,Volume,Tweet_sentiment
23-09-2020,10539.45703,10637.84766,10185.77441,10225.86426,10225.86426,22986733997,-1
24-09-2020,10227.47949,10765.79492,10215.20508,10745.54883,10745.54883,23017536742,0.5
25-09-2020,10747.47266,10757.54883,10594.04785,10702.29004,10702.29004,21232549821,0.5
26-09-2020,10702.23731,10778.5,10682.08203,10754.4375,10754.4375,18105012128,0.5
27-09-2020,10752.93945,10804.73242,10643.45801,10774.42676,10774.42676,18016880214,0
28-09-2020,10771.6416,10949.12305,10716.67676,10721.32715,10721.32715,22720365389,1
29-09-2020,10712.46289,10858.93945,10665.34473,10848.83008,10848.83008,20459870042,1
30-09-2020,10845.41113,10856.52832,10689.6709,10787.61816,10787.61816,20759622010,1
01-10-2020,10785.01074,10915.84375,10493.55273,10623.33008,10623.33008,27178227816,1
02-10-2020,10624.39063,10662.81348,10440.31152,10585.16406,10585.16406,23127839259,1
03-10-2020,10583.80664,10614.0918,10527.97852,10565.49316,10565.49316,17094010304,0.5
04-10-2020,10567.91992,10700.79102,10531.34277,10684.42871,10684.42871,17546792792,0.5
05-10-2020,10688.03418,10804.00098,10646.44336,10804.00098,10804.00098,19385191766,0.5
06-10-2020,10799.77832,10803.45606,10565.19727,10621.66406,10621.66406,22264958686,0
07-10-2020,10619.80371,10687.26856,10591.96387,10679.13672,10679.13672,17634388529,1
08-10-2020,10677.625,10939.79981,10569.82324,10923.62793,10923.62793,21962121001,1
09-10-2020,null,null,null,null,null,null,-1
10-10-2020,11059.14258,11442.21094,11056.94043,11296.36133,11296.36133,22877978588,0
11-10-2020,11296.08203,11428.81348,11288.62793,11384.18164,11384.18164,19968627060,0
12-10-2020,null,null,null,null,null,null,0
13-10-2020,null,null,null,null,null,null,0
14-10-2020,11429.04785,11539.97754,11307.83106,11429.50684,11429.50684,24103426719,0
15-10-2020,11426.60254,11569.91406,11303.60352,11495.34961,11495.34961,24487233058,0.5
16-10-2020,11502.82813,11540.06152,11223.0127,11322.12305,11322.12305,25635480772,1
17-10-2020,11322.12305,11386.26172,11285.3457,11358.10156,11358.10156,19130430174,1
18-10-2020,11355.98242,11483.35938,11347.57813,11483.35938,11483.35938,18283314340,1
19-10-2020,11495.03809,11799.09277,11408.29004,11742.03711,11742.03711,23860769928,1
20-10-2020,11745.97461,11999.91797,11681.48047,11916.33496,11916.33496,30915821592,1
21-10-2020,11913.07715,13184.56641,11900.92871,12823.68945,12823.68945,43414712626,-1
22-10-2020,12801.63574,13161.59375,12717.09375,12965.8916,12965.8916,34729759598,-1
23-10-2020,12971.54883,13015.96191,12752.64746,12931.53906,12931.53906,28974975003,-1
24-10-2020,12931.57422,13145.06641,12885.74707,13108.0625,13108.0625,24542317940,-1
25-10-2020,13108.06348,13329.18359,12910.06152,13031.17383,13031.17383,24406920575,-1
